,eps_1,mse,lr_2,epoch,msle,_timestamp,Predictions,lr_1,train_loss,valid_loss,lr_0,mom_1,train_samples_per_sec,Inputs,_runtime,r2_score,raw_loss,mae,eps_2,mom_2,sqr_mom_0,Ground_Truth,wd_0,wd_1,_rmse,sqr_mom_1,sqr_mom_2,wd_2,_step,mom_0,_exp_rmspe,eps_0,pearsonr,spearmanr
12,1e-05,,4.0003550389482684e-05,0.30614285714286343,,1680016238.4575872,,2.828678175194096e-05,0.07070419192314148,,2.000177519474134e-05,0.9499996301677622,79.36244182362711,,3583.817387342453,,0.059345848858356476,,1e-05,0.9499996301677622,0.99,,0.01,0.01,,0.99,0.99,0.01,4285,0.9499996301677622,,1e-05,,
13,1e-05,,4.000361531176741e-05,0.3089285714285771,,1680016261.990932,,2.8286827658928734e-05,0.06728943437337875,,2.00018076558837e-05,0.9499996234050242,85.91838022373138,,3607.350732088089,,0.05181419849395752,,1e-05,0.9499996234050242,0.99,,0.01,0.01,,0.99,0.99,0.01,4324,0.9499996234050242,,1e-05,,
14,1e-05,,4.0003638760031e-05,0.3099285714285769,,1680016270.4767604,,2.828684423935493e-05,0.06791931390762329,,2.0001819380015498e-05,0.9499996209624967,82.16466929492265,,3615.836560487747,,0.03806610032916069,,1e-05,0.9499996209624967,0.99,,0.01,0.01,,0.99,0.99,0.01,4338,0.9499996209624967,,1e-05,,
15,1e-05,,4.000391386883314e-05,0.32142857142857434,,1680016366.7619805,,2.8287038770654488e-05,0.06866675615310669,,2.0001956934416568e-05,0.9499995923053298,77.50954094000869,,3712.1217806339264,,0.05606987327337265,,1e-05,0.9499995923053298,0.99,,0.01,0.01,,0.99,0.99,0.01,4499,0.9499995923053298,,1e-05,,
16,1e-05,,4.000402072162168e-05,0.32578571428571623,,1680016400.8527834,,2.8287114326985852e-05,0.0658387839794159,,2.0002010360810838e-05,0.9499995811748311,111.40905296047923,,3746.21258354187,,0.06215837597846985,,1e-05,0.9499995811748311,0.99,,0.01,0.01,,0.99,0.99,0.01,4560,0.9499995811748311,,1e-05,,
17,1e-05,,4.0004403267663246e-05,0.34092857142857,,1680016523.0678368,,2.828738482788596e-05,0.06022045761346817,,2.000220163383162e-05,0.9499995413262851,82.63065003217835,,3868.427636861801,,0.04950244724750519,,1e-05,0.9499995413262851,0.99,,0.01,0.01,,0.99,0.99,0.01,4772,0.9499995413262851,,1e-05,,
18,1e-05,,4.0004544639812645e-05,0.34635714285714025,,1680016566.6299145,,2.828748479309147e-05,0.06011386960744858,,2.000227231990632e-05,0.9499995266000195,84.62178820641255,,3911.9897146224976,,0.10285581648349762,,1e-05,0.9499995266000195,0.99,,0.01,0.01,,0.99,0.99,0.01,4848,0.9499995266000195,,1e-05,,
19,1e-05,,4.000503332556627e-05,0.3644999999999934,,1680016714.591903,,2.8287830346101727e-05,0.058892443776130676,,2.0002516662783133e-05,0.9499994756952534,175.41224618665277,,4059.9517030715942,,0.0684363842010498,,1e-05,0.9499994756952534,0.99,,0.01,0.01,,0.99,0.99,0.01,5102,0.9499994756952534,,1e-05,,
20,1e-05,,4.000509864779789e-05,0.3668571428571357,,1680016734.2251425,,2.828787653589467e-05,0.058410901576280594,,2.0002549323898942e-05,0.9499994688908543,85.37151147326873,,4079.5849425792694,,0.0645923838019371,,1e-05,0.9499994688908543,0.99,,0.01,0.01,,0.99,0.99,0.01,5135,0.9499994688908543,,1e-05,,
21,1e-05,,4.0005651011079884e-05,0.3862142857142743,,1680016897.0835533,,2.8288267115717048e-05,0.05587783455848694,,2.000282550553994e-05,0.9499994113530125,137.5091422092062,,4242.4433534145355,,0.059844933450222015,,1e-05,0.9499994113530125,0.99,,0.01,0.01,,0.99,0.99,0.01,5406,0.9499994113530125,,1e-05,,
22,1e-05,,4.000670362134455e-05,0.4206428571428381,,1680017183.8550422,,2.8289011423573133e-05,0.04493577778339386,,2.000335181067227e-05,0.9499993017061099,81.13783644955238,,4529.2148423194885,,0.0554552897810936,,1e-05,0.9499993017061099,0.99,,0.01,0.01,,0.99,0.99,0.01,5888,0.9499993017061099,,1e-05,,
23,1e-05,,4.000704719331819e-05,0.4312857142856929,,1680017272.3389006,,2.8289254365645524e-05,0.045941952615976334,,2.000352359665909e-05,0.9499992659173626,86.26934421550654,,4617.698700666428,,0.047279778867959976,,1e-05,0.9499992659173626,0.99,,0.01,0.01,,0.99,0.99,0.01,6037,0.9499992659173626,,1e-05,,
24,1e-05,,4.0007444874021226e-05,0.44328571428569025,,1680017374.005828,,2.8289535568367385e-05,0.04025706276297569,,2.000372243701061e-05,0.9499992244922895,78.92928478722573,,4719.365628004074,,0.021946988999843597,,1e-05,0.9499992244922895,0.99,,0.01,0.01,,0.99,0.99,0.01,6205,0.9499992244922895,,1e-05,,
25,1e-05,,4.0007912730919834e-05,0.45699999999997293,,1680017488.8081691,,2.8289866393153018e-05,0.04358896240592003,,2.0003956365459914e-05,0.9499991757571958,77.63856482208524,,4834.167969226837,,0.04532930627465248,,1e-05,0.9499991757571958,0.99,,0.01,0.01,,0.99,0.99,0.01,6397,0.9499991757571958,,1e-05,,
26,1e-05,,4.000823760357213e-05,0.46628571428568516,,1680017563.227183,,2.829009611280848e-05,0.039673350751399994,,2.0004118801786063e-05,0.9499991419162945,81.5600812338334,,4908.586983203888,,0.03774084895849228,,1e-05,0.9499991419162945,0.99,,0.01,0.01,,0.99,0.99,0.01,6527,0.9499991419162945,,1e-05,,
27,1e-05,,4.000861025189015e-05,0.4767142857142543,,1680017648.537517,,2.8290359614961147e-05,0.03838687390089035,,2.0004305125945073e-05,0.9499991030987615,81.61125092696334,,4993.897317171097,,0.05354946106672287,,1e-05,0.9499991030987615,0.99,,0.01,0.01,,0.99,0.99,0.01,6673,0.9499991030987615,,1e-05,,
28,1e-05,,4.000898850694409e-05,0.48707142857139485,,1680017731.9387536,,2.829062708167481e-05,0.036608196794986725,,2.0004494253472043e-05,0.9499990636971933,93.34167574554091,,5077.298553705215,,0.02564261481165886,,1e-05,0.9499990636971933,0.99,,0.01,0.01,,0.99,0.99,0.01,6818,0.9499990636971933,,1e-05,,
29,1e-05,,4.000961608076474e-05,0.5037857142856798,,1680017871.3159592,,2.8291070843379083e-05,0.03512316569685936,,2.0004808040382367e-05,0.9499989983249203,73.73006868880263,,5216.675759315491,,0.023222312331199646,,1e-05,0.9499989983249203,0.99,,0.01,0.01,,0.99,0.99,0.01,7052,0.9499989983249203,,1e-05,,
30,1e-05,,4.0010386346860555e-05,0.523571428571405,,1680018033.841436,,2.829161550375875e-05,0.03318888694047928,,2.0005193173430274e-05,0.9499989180888686,81.16154342878727,,5379.201236009598,,0.049236103892326355,,1e-05,0.9499989180888686,0.99,,0.01,0.01,,0.99,0.99,0.01,7329,0.9499989180888686,,1e-05,,
31,1e-05,,4.001059141773049e-05,0.528714285714265,,1680018076.818774,,2.8291760510761507e-05,0.031638987362384796,,2.000529570886524e-05,0.9499988967273197,93.9565392282814,,5422.178574085236,,0.027718670666217804,,1e-05,0.9499988967273197,0.99,,0.01,0.01,,0.99,0.99,0.01,7401,0.9499988967273197,,1e-05,,
32,1e-05,,4.001062005776446e-05,0.5294285714285512,,1680018082.8683257,,2.829178076232374e-05,0.033027611672878265,,2.0005310028882228e-05,0.9499988937439828,76.3052611045966,,5428.228125810623,,0.029262684285640717,,1e-05,0.9499988937439828,0.99,,0.01,0.01,,0.99,0.99,0.01,7411,0.9499988937439828,,1e-05,,
33,1e-05,,4.001245268675532e-05,0.5732857142857184,,1680018450.0029588,,2.8293076626710573e-05,0.025448640808463097,,2.0006226343377656e-05,0.9499987028451297,82.12331894203456,,5795.362758874893,,0.02124394290149212,,1e-05,0.9499987028451297,0.99,,0.01,0.01,,0.99,0.99,0.01,8025,0.9499987028451297,,1e-05,,
34,1e-05,,4.0013582025258885e-05,0.598714285714304,,1680018664.8486226,,2.8293875189624702e-05,0.026567786931991577,,2.000679101262944e-05,0.9499985852057021,78.05635766600413,,6010.208422660828,,0.011951963417232037,,1e-05,0.9499985852057021,0.99,,0.01,0.01,,0.99,0.99,0.01,8381,0.9499985852057021,,1e-05,,
35,1e-05,,4.001569023007718e-05,0.6435000000000431,,1680019042.068634,,2.8295365915547848e-05,0.022427907213568687,,2.0007845115038585e-05,0.9499983656010336,72.34461901865475,,6387.42843413353,,0.024016501381993294,,1e-05,0.9499983656010336,0.99,,0.01,0.01,,0.99,0.99,0.01,9008,0.9499983656010336,,1e-05,,
36,1e-05,,4.001669876198455e-05,0.6638571428571973,,1680019210.8629167,,2.8296079055298594e-05,0.022890109568834305,,2.0008349380992272e-05,0.9499982605456265,122.19117802589773,,6556.222716808319,,0.01838957890868187,,1e-05,0.9499982605456265,0.99,,0.01,0.01,,0.99,0.99,0.01,9293,0.9499982605456265,,1e-05,,
37,1e-05,,4.001688977713331e-05,0.6676428571429137,,1680019242.0011547,,2.8296214123405596e-05,0.023203864693641663,,2.0008444888566652e-05,0.9499982406482153,78.71914117413105,,6587.360954761505,,0.009968798607587814,,1e-05,0.9499982406482153,0.99,,0.01,0.01,,0.99,0.99,0.01,9346,0.9499982406482153,,1e-05,,
