"Step","x-250px - train_loss","x-250px - train_loss__MIN","x-250px - train_loss__MAX"
"4","0.2863263487815857","0.2863263487815857","0.2863263487815857"
"8","0.2865634262561798","0.2865634262561798","0.2865634262561798"
"23","0.2657318115234375","0.2657318115234375","0.2657318115234375"
"75","0.25353503227233887","0.25353503227233887","0.25353503227233887"
"86","0.2457016408443451","0.2457016408443451","0.2457016408443451"
"88","0.24374434351921082","0.24374434351921082","0.24374434351921082"
"94","0.24342530965805054","0.24342530965805054","0.24342530965805054"
"118","0.23468701541423798","0.23468701541423798","0.23468701541423798"
"121","0.23326051235198975","0.23326051235198975","0.23326051235198975"
"131","0.23314730823040009","0.23314730823040009","0.23314730823040009"
"159","0.22750745713710785","0.22750745713710785","0.22750745713710785"
"178","0.22251445055007935","0.22251445055007935","0.22251445055007935"
"179","0.22245877981185913","0.22245877981185913","0.22245877981185913"
"199","0.2255440354347229","0.2255440354347229","0.2255440354347229"
"254","0.21793439984321594","0.21793439984321594","0.21793439984321594"
"297","0.21090959012508392","0.21090959012508392","0.21090959012508392"
"327","0.20947742462158203","0.20947742462158203","0.20947742462158203"
"361","0.21190206706523895","0.21190206706523895","0.21190206706523895"
"479","0.20279094576835632","0.20279094576835632","0.20279094576835632"
"484","0.20238031446933746","0.20238031446933746","0.20238031446933746"
"544","0.19452284276485443","0.19452284276485443","0.19452284276485443"
"555","0.1910565048456192","0.1910565048456192","0.1910565048456192"
"557","0.19166447222232819","0.19166447222232819","0.19166447222232819"
"560","0.1928609013557434","0.1928609013557434","0.1928609013557434"
"570","0.19189800322055817","0.19189800322055817","0.19189800322055817"
"591","0.1906152367591858","0.1906152367591858","0.1906152367591858"
"598","0.18956616520881653","0.18956616520881653","0.18956616520881653"
"657","0.19341257214546204","0.19341257214546204","0.19341257214546204"
"680","0.19163739681243896","0.19163739681243896","0.19163739681243896"
"685","0.19280123710632324","0.19280123710632324","0.19280123710632324"
"736","0.1934974193572998","0.1934974193572998","0.1934974193572998"
"742","0.19289618730545044","0.19289618730545044","0.19289618730545044"
"746","0.19188863039016724","0.19188863039016724","0.19188863039016724"
"755","0.1930021345615387","0.1930021345615387","0.1930021345615387"
"821","0.18973281979560852","0.18973281979560852","0.18973281979560852"
"833","0.1855526715517044","0.1855526715517044","0.1855526715517044"
"856","0.19053421914577484","0.19053421914577484","0.19053421914577484"
"873","0.18873441219329834","0.18873441219329834","0.18873441219329834"
"948","0.18537552654743195","0.18537552654743195","0.18537552654743195"
"958","0.18306536972522736","0.18306536972522736","0.18306536972522736"
"1002","0.1802850216627121","0.1802850216627121","0.1802850216627121"
"1068","0.1800002008676529","0.1800002008676529","0.1800002008676529"
"1092","0.18001413345336914","0.18001413345336914","0.18001413345336914"
"1104","0.18022289872169495","0.18022289872169495","0.18022289872169495"
"1110","0.1809363067150116","0.1809363067150116","0.1809363067150116"
"1146","0.17909733951091766","0.17909733951091766","0.17909733951091766"
"1155","0.17464163899421692","0.17464163899421692","0.17464163899421692"
"1168","0.17302235960960388","0.17302235960960388","0.17302235960960388"
"1201","0.17302539944648743","0.17302539944648743","0.17302539944648743"
"1260","0.17214789986610413","0.17214789986610413","0.17214789986610413"
"1326","0.16756685078144073","0.16756685078144073","0.16756685078144073"
"1343","0.16476330161094666","0.16476330161094666","0.16476330161094666"
"1354","0.16540007293224335","0.16540007293224335","0.16540007293224335"
"1392","0.16595616936683655","0.16595616936683655","0.16595616936683655"
"1403","0.1625404804944992","0.1625404804944992","0.1625404804944992"
"1416","0.1612389087677002","0.1612389087677002","0.1612389087677002"
"1440","0.15785890817642212","0.15785890817642212","0.15785890817642212"
"1445","0.15663133561611176","0.15663133561611176","0.15663133561611176"
"1449","0.15496578812599182","0.15496578812599182","0.15496578812599182"
"1468","0.15566246211528778","0.15566246211528778","0.15566246211528778"
"1507","0.1617521196603775","0.1617521196603775","0.1617521196603775"
"1513","0.16020123660564423","0.16020123660564423","0.16020123660564423"
"1527","0.15972350537776947","0.15972350537776947","0.15972350537776947"
"1536","0.15997596085071564","0.15997596085071564","0.15997596085071564"
"1586","0.16407640278339386","0.16407640278339386","0.16407640278339386"
"1593","0.1651807278394699","0.1651807278394699","0.1651807278394699"
"1669","0.1577381044626236","0.1577381044626236","0.1577381044626236"
"1698","0.1569417417049408","0.1569417417049408","0.1569417417049408"
"1711","0.15420225262641907","0.15420225262641907","0.15420225262641907"
"1731","0.1539124995470047","0.1539124995470047","0.1539124995470047"
"1761","0.14914549887180328","0.14914549887180328","0.14914549887180328"
"1768","0.14983028173446655","0.14983028173446655","0.14983028173446655"
"1862","0.14590269327163696","0.14590269327163696","0.14590269327163696"
"1880","0.14499503374099731","0.14499503374099731","0.14499503374099731"
"1937","0.14304658770561218","0.14304658770561218","0.14304658770561218"
"1949","0.14052683115005493","0.14052683115005493","0.14052683115005493"
"1983","0.13605578243732452","0.13605578243732452","0.13605578243732452"
"2021","0.136063352227211","0.136063352227211","0.136063352227211"
"2061","0.1391696035861969","0.1391696035861969","0.1391696035861969"
"2082","0.13826444745063782","0.13826444745063782","0.13826444745063782"
"2156","0.1342231184244156","0.1342231184244156","0.1342231184244156"
"2176","0.13004910945892334","0.13004910945892334","0.13004910945892334"
"2222","0.13063454627990723","0.13063454627990723","0.13063454627990723"
"2242","0.1320459544658661","0.1320459544658661","0.1320459544658661"
"2313","0.1294100433588028","0.1294100433588028","0.1294100433588028"
"2329","0.12758870422840118","0.12758870422840118","0.12758870422840118"
"2408","0.12398286908864975","0.12398286908864975","0.12398286908864975"
"2440","0.12149973213672638","0.12149973213672638","0.12149973213672638"
"2464","0.12473176419734955","0.12473176419734955","0.12473176419734955"
"2467","0.12470822781324387","0.12470822781324387","0.12470822781324387"
"2499","0.12414156645536423","0.12414156645536423","0.12414156645536423"
"2506","0.1263924092054367","0.1263924092054367","0.1263924092054367"
"2544","0.1285237967967987","0.1285237967967987","0.1285237967967987"
"2629","0.1117980033159256","0.1117980033159256","0.1117980033159256"
"2635","0.11281216889619827","0.11281216889619827","0.11281216889619827"
"2657","0.111822709441185","0.111822709441185","0.111822709441185"
"2692","0.10627588629722595","0.10627588629722595","0.10627588629722595"
"2722","0.1107037216424942","0.1107037216424942","0.1107037216424942"
"2723","0.11087999492883682","0.11087999492883682","0.11087999492883682"
"2725","0.11000888049602509","0.11000888049602509","0.11000888049602509"
"2732","0.11153006553649902","0.11153006553649902","0.11153006553649902"
"2734","0.11216527968645096","0.11216527968645096","0.11216527968645096"
"2765","0.11473611742258072","0.11473611742258072","0.11473611742258072"
"2783","0.11290110647678375","0.11290110647678375","0.11290110647678375"
"2823","0.10898245871067047","0.10898245871067047","0.10898245871067047"
"2925","0.10714367777109146","0.10714367777109146","0.10714367777109146"
"2938","0.10585957020521164","0.10585957020521164","0.10585957020521164"
"2972","0.10465334355831146","0.10465334355831146","0.10465334355831146"
"2998","0.10287623852491379","0.10287623852491379","0.10287623852491379"
"3008","0.09958614408969879","0.09958614408969879","0.09958614408969879"
"3013","0.09899012744426727","0.09899012744426727","0.09899012744426727"
"3017","0.10046589374542236","0.10046589374542236","0.10046589374542236"
"3026","0.09974377602338791","0.09974377602338791","0.09974377602338791"
"3064","0.09812825918197632","0.09812825918197632","0.09812825918197632"
"3065","0.09831809252500534","0.09831809252500534","0.09831809252500534"
