"Step","cls-250px - accuracy","cls-250px - accuracy__MIN","cls-250px - accuracy__MAX"
"13999","0.999750018119812","0.999750018119812","0.999750018119812"
"27999","0.9998214244842529","0.9998214244842529","0.9998214244842529"
"41999","0.9998928308486938","0.9998928308486938","0.9998928308486938"
"55999","0.9999285936355591","0.9999285936355591","0.9999285936355591"
"69999","0.9998928308486938","0.9998928308486938","0.9998928308486938"
"83999","0.9999107122421265","0.9999107122421265","0.9999107122421265"
